TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
MANYIKA,"493","-18.81750000000","32.77460000000",Zimbabwe,ZWE,"0","871"
MAO,"494","9.02597512935","34.77880000000",Ethiopia,ETH,"0","0"
MARGI,"495","10.77790000000","13.21060000000",Nigeria,NGA,"0","0"
MASA,"496","9.92932737599","15.65690000000",Chad,TCD,"0","0"
MASAI,"497","-2.92126000000","36.41700000000",United Republic of Tanzania,TZA,"0","1132"
MASALIT,"498","13.18730000000","22.47920000000",Chad,TCD,"0","0"
MASHASHA,"499","-15.39890000000","25.39000000000",Zambia,ZMB,"0","0"
MASHI,"500","-16.16510000000","22.53960000000",Zambia,ZMB,"0","0"
MASINA,"501","15.20410000000","-3.85380000000",Mauritania,MRT,"35","0"
MASONGO,"502","7.86998923787","34.99470000000",Ethiopia,ETH,"0","0"
MATAKAM,"503","10.82080000000","13.79060000000",Nigeria,NGA,"0","0"
MATENGO,"504","-11.00860000000","35.18340000000",United Republic of Tanzania,TZA,"0","86"
MATMATA,"505","33.53540000000","9.49636143003",Tunisia,TUN,"0","0"
MATUMBI,"506","-9.37831000000","36.20990000000",United Republic of Tanzania,TZA,"0","4524"
MAURI,"507","13.33310000000","3.77606160899",Niger,NER,"0","0"
"MAYOGO, BADJO (NE)","508","2.66320454525","27.98110000000",Democratic Republic of the Congo,COD,"0","0"
MBAE,"509","1.19446543649","25.25360000000",Democratic Republic of the Congo,COD,"0","174"
MBAGANI,"510","-7.08356000000","22.24800000000",Democratic Republic of the Congo,COD,"0","0"
MBALA,"511","-4.82061000000","18.21360000000",Democratic Republic of the Congo,COD,"0","0"
MBANGALA,"512","-9.29804000000","18.22880000000",Angola,AGO,"1376","0"
MBEMBE,"513","6.11075510303","8.46425691250",Nigeria,NGA,"18037","0"
MBERE,"514","7.11640761405","15.85990000000",Chad,TCD,"0","0"
MBESA,"515","1.55389761490","22.96720000000",Democratic Republic of the Congo,COD,"118","0"
MBOLE,"516","-1.64343000000","21.00440000000",Democratic Republic of the Congo,COD,"0","0"
MBUBULA,"517","9.60486872839","12.36760000000",Nigeria,NGA,"0","0"
MBUGU,"518","-4.49990000000","38.28890000000",United Republic of Tanzania,TZA,"0","0"
MBUGWE,"519","-3.75500000000","35.90380000000",United Republic of Tanzania,TZA,"0","0"
MBUKUSHU,"520","-17.31290000000","21.27830000000",Namibia,NAM,"0","0"
MBUM,"521","7.45818977452","13.67310000000",Cameroon,CMR,"0","0"
MBUNDA,"522","-14.43080000000","21.10700000000",Zambia,ZMB,"0","0"
MBUNDU,"523","-12.41780000000","15.79260000000",Angola,AGO,"86192","0"
MBUNGA,"524","-8.10787000000","36.98430000000",United Republic of Tanzania,TZA,"0","0"
MBWELA,"525","-15.30110000000","19.18540000000",Angola,AGO,"787","0"
MEBAN,"526","10.29220000000","33.55800000000",Ethiopia,ETH,"0","0"
MEDJI,"527","2.63129133416","27.28180000000",Democratic Republic of the Congo,COD,"0","0"
MEKYIBO,"528","5.44230847276","-3.11319000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
MENASSER,"529","36.44740000000","2.08202021473",Algeria,DZA,"0","0"
MENDE,"530","7.95130534362","-11.18170000000",Sierra Leone,SLE,"11470","0"
MERARIT,"531","14.42090000000","21.54330000000",Chad,TCD,"0","0"
MERINA,"532","-18.32820000000","46.97900000000",Madagascar,MDG,"15645","13565"
MERU,"533","0.01666100428","38.10440000000",Kenya,KEN,"0","86"
MESSIRIA,"534","11.08660000000","28.34220000000",Sudan,SDN,"0","0"
MIDOBI,"535","15.37680000000","26.62410000000",Sudan,SDN,"0","0"
